temperature;pressure [Pa];uptake [mol/g];min pressure [Pa];max pressure [Pa];min uptake [mol/g];max uptake [mol/g];langmuir K;langmuir qsat;langmuir K error;langmuir qsat error;sips_K
28;[20316.5, 22026.5, 23880.1, 26418.0, 28641.2, 29822.0, 32331.6, 33664.5, 34351.5, 37246.0, 39572.9, 42903.1, 45583.5, 47462.7, 48431.2];[0.003406, 0.003484, 0.003578, 0.00375, 0.003859, 0.003969, 0.004078, 0.004188, 0.004266, 0.004375, 0.004484, 0.004719, 0.004844, 0.004969, 0.005063];20316.5;48431.2;0.003406;0.005063;3.46E-05;0.00788631;0.033594517;3.485622377;1.00E-06
28;[50427.9, 51456.9, 53578.3, 55787.2, 58087.2, 59272.5, 60481.9, 62975.4, 64260.5, 66909.8, 69668.3, 71089.9, 72540.5, 74020.7, 4.8, 15.3, 29.8, 47.4, 72.4, 104.2, 144.0, 198.9, 269.3, 364.7, 437.4, 524.6, 642.0, 770.1, 905.1, 1250.5, 1626.1, 2030.7, 2536.1, 3167.2, 3798.7, 4465.1];[0.005156, 0.005266, 0.005359, 0.0055, 0.005609, 0.00575, 0.005875, 0.005969, 0.006109, 0.006375, 0.006516, 0.006641, 0.006797, 0.006906, 0.000125, 0.00025, 0.000375, 0.0005, 0.000625, 0.00075, 0.000891, 0.001016, 0.001141, 0.001266, 0.001344, 0.001406, 0.0015, 0.001563, 0.001625, 0.001719, 0.001813, 0.001891, 0.001969, 0.002016, 0.002063, 0.002125];4.8;74020.7;0.000125;0.006906;0.000206516;0.006435084;0.059086802;0.348915174;1.47E-05
29;[5143.3, 6168.9, 7549.9, 8874.3, 10017.8, 11308.7, 12766.1, 13840.4, 15311.5, 16600.2, 17997.4, 19121.9, 20731.1, 22475.9, 23402.5, 25372.0, 25889.7, 26957.0];[0.002156, 0.002219, 0.002297, 0.002344, 0.002406, 0.002453, 0.0025, 0.002547, 0.002594, 0.002625, 0.002672, 0.002734, 0.002781, 0.002844, 0.002891, 0.002938, 0.002953, 0.002984];5143.3;26957;0.002156;0.002984;0.000332396;0.003194709;0.426696786;0.753277313;1.00E-06
29;[28068.4, 30430.5, 32331.6, 34351.5, 36501.2, 38781.6, 40380.4, 42903.1, 45583.5, 48431.2, 51456.9, 54671.6];[0.003016, 0.003078, 0.003156, 0.003219, 0.003281, 0.003359, 0.003422, 0.003484, 0.003594, 0.003672, 0.003781, 0.003891];28068.4;54671.6;0.003016;0.003891;3.99E-05;0.005585483;0.071319931;3.834090365;1.00E-06
29;[59272.5, 62975.4, 65571.7, 68275.1, 72540.5, 77072.4, 78645.1, 81887.4, 87003.2, 88778.5, 92438.6, 96249.6];[0.004, 0.004125, 0.004219, 0.004328, 0.004437, 0.004562, 0.004672, 0.004781, 0.004906, 0.005031, 0.005156, 0.005297];59272.5;96249.6;0.004;0.005297;9.52E-06;0.010948897;0.016489978;10.84288364;1.00E-06
29;[100228.0, 102273.0, 106489.0, 110880.0, 14.4, 50.4];[0.005422, 0.005547, 0.005703, 0.005828, 0.000141, 0.000297];14.4;110880;0.000141;0.005828;4.38E-06;0.017878071;0.046039261;128.708785;5.31E-06
31;[102.1, 165.9, 253.5, 357.4, 483.9, 642.0, 834.9, 1063.9, 1302.1, 1530.5, 2114.5, 2640.7];[0.000453, 0.000594, 0.000719, 0.000875, 0.000984, 0.001109, 0.001219, 0.001297, 0.001391, 0.001453, 0.001563, 0.001656];102.1;2640.7;0.000453;0.001656;2.97E-07;2.947926409;0.380775549;3770799.1;5.00E-07
31;[3297.8, 4202.5, 5248.3, 6294.7, 7549.9, 8696.8, 9817.5, 10861.0, 11539.6, 12510.7, 13292.4, 13840.4];[0.001719, 0.001797, 0.001875, 0.001937, 0.001984, 0.002031, 0.002078, 0.002094, 0.002125, 0.002156, 0.002188, 0.002188];3297.8;13840.4;0.001719;0.002188;0.000739018;0.002374101;1.838762205;0.909060176;1.00E-06
31;[15624.1, 16268.2, 17284.8, 18739.3, 19512.1, 21154.3, 22475.9, 23880.1, 25889.7, 26957.0, 28068.4, 30430.5, 33664.5, 34351.5, 36501.2, 38781.6, 41204.4, 43778.6, 47462.7, 49419.5, 51456.9, 54671.6, 58087.2, 61716.1, 64260.5, 68275.1, 74020.7, 77072.4, 83558.3, 92438.6, 94324.9, 102273.0, 108662.0, 115451.0, 120211.0, 125166.0, 130327.0, 51.4, 127.5, 215.7, 310.2, 403.4, 503.8, 616.6, 682.2, 818.2, 923.6, 1001.3, 1130.4, 1201.0, 1302.1, 1411.7, 1440.5, 1499.9, 1561.7, 1988170.0, 2958580.0, 3976330.0, 4970410.0];[0.00225, 0.002266, 0.002281, 0.002328, 0.002344, 0.002375, 0.002406, 0.002422, 0.002453, 0.002469, 0.0025, 0.002531, 0.002563, 0.002578, 0.002641, 0.002672, 0.002719, 0.002766, 0.002797, 0.002828, 0.002875, 0.002922, 0.002984, 0.003031, 0.003094, 0.003156, 0.00325, 0.003328, 0.003406, 0.0035, 0.003578, 0.003703, 0.003828, 0.003953, 0.004016, 0.004109, 0.00425, 6.3e-05, 0.000141, 0.000172, 0.000234, 0.000297, 0.000344, 0.000375, 0.000406, 0.000453, 0.000484, 0.000531, 0.000562, 0.000594, 0.000578, 0.000641, 0.000672, 0.000672, 0.000687, 0.099757, 0.158969, 0.205738, 0.244206];51.4;4970410;6.30E-05;0.244206;2.26E-08;2.45261282;2.11E-06;198.941061;8.46E-09
77;[5964500.0, 6982250.0, 7952660.0, 8946750.0, 9727810.0, 1491120.0, 2532540.0, 3502960.0, 4497040.0, 5491120.0, 6461540.0, 7502960.0, 8473370.0, 9467460.0, 970414.0, 2011830.0, 2982250.0, 3976330.0, 4970410.0, 5964500.0, 6982250.0, 7952660.0, 8970410.0, 9751480.0, 2485210.0, 3479290.0, 4473370.0, 5491120.0, 6461540.0, 7479290.0, 8473370.0, 9443790.0, 1467460.0, 2485210.0, 3479290.0, 4497040.0, 5491120.0, 6485210.0, 7455620.0, 8473370.0, 9443790.0, 843882.0, 2109700.0, 4219410.0, 9071730.0, 12025300.0, 16033800.0, 20042200.0, 24261600.0, 28481000.0, 33122400.0, 38185700.0, 44092800.0, 50632900.0, 56962000.0, 60970500.0, 63291100.0, 65822800.0, 69198300.0, 71940900.0, 74050600.0, 78270000.0, 510638.0];[0.282673, 0.321143, 0.367907, 0.40845, 0.453123, 0.063407, 0.121588, 0.166278, 0.21097, 0.244251, 0.259895, 0.292142, 0.325421, 0.348329, 0.036391, 0.072788, 0.107104, 0.137273, 0.169517, 0.196574, 0.223633, 0.245501, 0.270485, 0.285075, 0.092538, 0.126857, 0.155988, 0.185122, 0.209065, 0.231974, 0.250732, 0.266377, 0.046807, 0.076978, 0.10611, 0.134206, 0.159188, 0.181059, 0.202927, 0.223762, 0.24148, 0.001358, 0.002755, 0.003887, 0.005925, 0.006906, 0.007887, 0.008717, 0.009509, 0.010189, 0.010793, 0.011472, 0.012075, 0.012679, 0.013208, 0.013509, 0.013736, 0.013849, 0.014151, 0.014264, 0.014415, 0.014679, 0.000217];510638;78270000;0.000217;0.453123;2.28E-06;0.151116015;3.12E-05;0.193039399;1.00E-06
