experiment;temperature;pressure [Pa];uptake [mol/g]
10.1002adfm.200500561.Isotherm2;50;3876.3;0.000344
10.1002adfm.200500561.Isotherm2;50;4036.1;0.000359
10.1002adfm.200500561.Isotherm2;50;4288.3;0.000375
10.1002adfm.200500561.Isotherm2;50;4939.7;0.000406
10.1002adfm.200500561.Isotherm2;50;5355.4;0.000422
10.1002adfm.200500561.Isotherm2;50;5690;0.000453
10.1002adfm.200500561.Isotherm3;50;6168.9;0.000469
10.1002adfm.200500561.Isotherm3;50;6688.1;0.000516
10.1002adfm.200500561.Isotherm3;50;7106;0.000547
10.1002adfm.200500561.Isotherm3;50;7398.9;0.000547
10.1002adfm.200500561.Isotherm3;50;8185.3;0.000594
10.1002adfm.200500561.Isotherm3;50;8696.8;0.000609
10.1002adfm.200500561.Isotherm3;31;0;0
10.1002adfm.200500561.Isotherm4;31;311.7;0.001105
10.1002adfm.200500561.Isotherm4;31;935.1;0.001175
10.1002adfm.200500561.Isotherm4;31;1246.7;0.001298
10.1002adfm.200500561.Isotherm4;31;1558.4;0.001509
10.1002adfm.200500561.Isotherm4;31;2181.8;0.001614
10.1002adfm.200500561.Isotherm4;31;3740.3;0.001684
10.1002adfm.200500561.Isotherm4;31;5298.7;0.001807
10.1002adfm.200500561.Isotherm4;31;7168.8;0.001895
10.1002adfm.200500561.Isotherm4;31;8727.3;0.00193
10.1002adfm.200500561.Isotherm4;31;9350.7;0.001965
10.1002adfm.200500561.Isotherm5;31;11220.8;0.002018
10.1002adfm.200500561.Isotherm5;31;13090.9;0.00207
10.1002adfm.200500561.Isotherm5;31;14649.4;0.002123
10.1002adfm.200500561.Isotherm5;31;16831.2;0.002158
10.1002adfm.200500561.Isotherm5;31;17766.2;0.002175
10.1002adfm.200500561.Isotherm5;31;19324.7;0.002228
10.1002adfm.200500561.Isotherm5;31;20571.4;0.002246
10.1002adfm.200500561.Isotherm5;31;22129.9;0.002281
10.1002adfm.200500561.Isotherm5;31;23376.6;0.002281
10.1002adfm.200500561.Isotherm5;31;24623.4;0.002298
10.1002adfm.200500561.Isotherm5;31;25558.4;0.002316
